"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","lad_code","lad_name","version","level_methodology","establishment_type","t_schools","t_pupils","t_att8","avg_att8","t_entbasics","pt_entbasics","t_l2basics_95","pt_l2basics_95","t_l2basics_94","pt_l2basics_94","t_ebacc_e_ptq_ee","pt_ebacc_e_ptq_ee","t_ebacc_95","pt_ebacc_95","t_ebacc_94","pt_ebacc_94","t_ebaccaps","avg_ebaccaps","t_inp8calc","t_p8score","avg_p8score","p8score_ci_low","p8score_ci_upp"
"202223","Academic year","Local authority district","E92000001","England","E12000005","West Midlands","E08000026","Coventry","Revised","Pupil residency","State-funded schools (LA)",66,4113,181229.75,44.1,3966,96.4,1700,41.3,2524,61.4,1424,34.6,506,12.3,755,18.4,15681.14,3.81,3763,-124.213,"-0.03","-0.08","0.01"
"202223","Academic year","Local authority district","E92000001","England","E12000005","West Midlands","E08000027","Dudley","Revised","Pupil residency","State-funded schools (LA)",99,3597,157010.5,43.7,3469,96.4,1408,39.1,2193,61,923,25.7,353,9.8,548,15.2,13195,3.67,3479,-159.812,"-0.05","-0.09","0"
"202223","Academic year","Local authority district","E92000001","England","E12000005","West Midlands","E08000028","Sandwell","Revised","Pupil residency","State-funded schools (LA)",121,4386,193338,44.1,4268,97.3,1690,38.5,2508,57.2,1545,35.2,527,12,850,19.4,16505.09,3.76,4085,-51.231,"-0.01","-0.06","0.03"
"202223","Academic year","Local authority district","E92000001","England","E12000005","West Midlands","E08000029","Solihull","Revised","Pupil residency","State-funded schools (LA)",94,2514,123221,49,2420,96.3,1297,51.6,1766,70.2,1117,44.4,529,21,737,29.3,10861.23,4.32,2387,34.904,"0.01","-0.04","0.07"
"202223","Academic year","Local authority district","E92000001","England","E12000005","West Midlands","E08000030","Walsall","Revised","Pupil residency","State-funded schools (LA)",108,3527,154438,43.8,3406,96.6,1350,38.3,2035,57.7,1297,36.8,432,12.2,645,18.3,13096.55,3.71,3341,-577.827,"-0.17","-0.22","-0.13"
"202223","Academic year","Local authority district","E92000001","England","E12000005","West Midlands","E08000031","Wolverhampton","Revised","Pupil residency","State-funded schools (LA)",84,3466,156545.5,45.2,3356,96.8,1331,38.4,2031,58.6,954,27.5,321,9.3,475,13.7,12805.37,3.69,3216,-195.711,"-0.06","-0.11","-0.01"
"202223","Academic year","Local authority district","E92000001","England","E12000003","Yorkshire and The Humber","E08000032","Bradford","Revised","Pupil residency","State-funded schools (LA)",87,7727,325694,42.2,7387,95.6,2909,37.6,4413,57.1,2898,37.5,931,12,1403,18.2,27735.09,3.59,7380,-1712.235,"-0.23","-0.26","-0.2"
"202223","Academic year","Local authority district","E92000001","England","E12000003","Yorkshire and The Humber","E08000033","Calderdale","Revised","Pupil residency","State-funded schools (LA)",39,2428,111709,46,2327,95.8,1056,43.5,1537,63.3,726,29.9,315,13,475,19.6,9445.78,3.89,2352,-91.072,"-0.04","-0.1","0.02"
"202223","Academic year","Local authority district","E92000001","England","E12000003","Yorkshire and The Humber","E08000034","Kirklees","Revised","Pupil residency","State-funded schools (LA)",81,5230,242805.75,46.4,5065,96.8,2405,46,3463,66.2,1800,34.4,809,15.5,1158,22.1,21004.88,4.02,5059,513.757,"0.1","0.06","0.14"
"202223","Academic year","Local authority district","E92000001","England","E12000003","Yorkshire and The Humber","E08000035","Leeds","Revised","Pupil residency","State-funded schools (LA)",100,8821,407667.75,46.2,8439,95.7,4122,46.7,5750,65.2,3765,42.7,1737,19.7,2417,27.4,35984.96,4.08,8305,1170.295,"0.14","0.11","0.17"
"202223","Academic year","Local authority district","E92000001","England","E12000003","Yorkshire and The Humber","E08000036","Wakefield","Revised","Pupil residency","State-funded schools (LA)",63,3820,174131.25,45.6,3701,96.9,1715,44.9,2496,65.3,1339,35.1,559,14.6,821,21.5,15153.88,3.97,3698,416.276,"0.11","0.07","0.16"
"202223","Academic year","Local authority district","E92000001","England","E12000001","North East","E08000037","Gateshead","Revised","Pupil residency","State-funded schools (LA)",45,1930,89781,46.5,1854,96.1,878,45.5,1292,66.9,916,47.5,374,19.4,561,29.1,7902.85,4.09,1869,-345.035,"-0.18","-0.25","-0.12"
"202223","Academic year","Local authority district","E92000001","England","E13000001","Inner London","E09000001","City of London","Revised","Pupil residency","State-funded schools (LA)",14,15,837.25,55.8,15,100,10,66.7,12,80,9,60,5,33.3,6,40,78,5.2,12,16.169,"1.35","0.55","2.15"
