"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type","qualification_type","subject","test_year","number_pupils","percentage"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Film Studies","Final year",5031,"97.5"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Film Studies","Penultimate year",100,"1.9"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Food Preparation & Nutrition","Total",53047,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Food Preparation & Nutrition","Final year",52433,"98.8"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Food Preparation & Nutrition","Penultimate year",574,"1.1"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","French","Total",125447,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","French","Final year",123401,"98.4"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","French","Penultimate year",1211,"1"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Geography","Total",281275,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Geography","Final year",280127,"99.6"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Geography","Penultimate year",1037,"0.4"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","German","Total",33570,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","German","Final year",32921,"98.1"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","German","Penultimate year",401,"1.2"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","History","Total",295447,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","History","Final year",294228,"99.6"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","History","Penultimate year",1113,"0.4"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Latin","Total",8327,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Latin","Final year",7971,"95.7"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Latin","Penultimate year",295,"3.5"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Mathematics","Total",614657,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Mathematics","Final year",612882,"99.7"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Mathematics","Penultimate year",1653,"0.3"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Media/Film/TV","Total",26988,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Media/Film/TV","Final year",26569,"98.4"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Media/Film/TV","Penultimate year",411,"1.5"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Music","Total",29870,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Music","Final year",29459,"98.6"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Music","Penultimate year",364,"1.2"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Other Modern Languages","Total",34327,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Other Modern Languages","Final year",23552,"68.6"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Other Modern Languages","Penultimate year",9019,"26.3"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Other Sciences","Total",2213,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Other Sciences","Final year",1899,"85.8"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Other Sciences","Penultimate year",310,"14"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Physical Education","Total",74017,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Physical Education","Final year",73337,"99.1"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Physical Education","Penultimate year",663,"0.9"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Physics","Total",170231,"z"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Physics","Final year",169795,"99.7"
202223,"Academic year","National","E92000001","England","Revised","All schools","GCSE","Physics","Penultimate year",357,"0.2"
