"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type","qualification_type","subject","grade","number_achieving"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","21","132"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","22","138"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","3","225"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","32","126"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","33","93"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","4","92"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","43","86"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","44","62"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","5","54"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","54","38"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","55","45"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","6","17"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","65","9"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","66","9"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","7","16"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","76","10"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","77","9"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","8","7"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","87","10"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","88","4"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","9","4"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","98","4"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","99","1"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","Covid impacted","5"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","Total exam entries","2646"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","U","259"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Any Science","X","303"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Art and Design","1","183"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Art and Design","2","245"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Art and Design","3","249"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Art and Design","4","161"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Art and Design","5","123"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Art and Design","6","56"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Art and Design","7","22"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Art and Design","8","8"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Art and Design","9","10"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Art and Design","Covid impacted","8"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Art and Design","Total exam entries","1144"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Art and Design","U","27"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Art and Design","X","52"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Biology","1","320"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Biology","2","368"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Biology","3","190"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Biology","4","62"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Biology","5","31"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Biology","6","7"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Biology","7","5"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Biology","8","3"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Biology","9","2"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Biology","Covid impacted","3"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Biology","Total exam entries","1176"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Biology","U","68"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Biology","X","117"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Business","1","32"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Business","2","24"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Business","3","28"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Business","4","17"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Business","5","5"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Business","6","4"
202223,"Academic year","National","E92000001","England","Revised","Alternative provision","GCSE","Business","7","2"
