time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,version,education_investment_area_flag,priority_area_flag,establishment_type,breakdown,gender,ethnicity_major,ethnicity_minor,free_school_meals,sen_status,sen_description,disadvantage,first_language,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Boys,Mixed,White and Black Caribbean,Total,Total,Total,Total,Total,12,51,1971.75,38.7,48,94.1,18,35.3,28,54.9,19,37.3,5,9.8,8,15.7,176.49,3.46,49,-16.623,-0.34,-0.74,0.06
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity minor,Boys,Other,Any other ethnic group,Total,Total,Total,Total,Total,12,43,1645.5,38.3,40,93,17,39.5,23,53.5,15,34.9,4,9.3,7,16.3,152.83,3.55,30,-0.161,-0.01,-0.51,0.5
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Ethnicity major,Boys,Other,Total,Total,Total,Total,Total,Total,12,43,1645.5,38.3,40,93,17,39.5,23,53.5,15,34.9,4,9.3,7,16.3,152.83,3.55,30,-0.161,-0.01,-0.51,0.5
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Free school meals,Boys,Total,Total,FSM,Total,Total,Total,Total,16,356,11948.75,33.6,317,89,95,26.7,145,40.7,109,30.6,16,4.5,35,9.8,1059.3,2.98,323,-187.244,-0.58,-0.73,-0.43
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),Free school meals,Boys,Total,Total,FSM all other,Total,Total,Total,Total,16,775,36391,47,736,95,384,49.5,520,67.1,365,47.1,132,17,192,24.8,3297.56,4.25,693,98.674,0.14,0.04,0.25
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),SEN status,Boys,Total,Total,Total,No SEN,Total,Total,Total,12,836,40326.75,48.2,826,98.8,428,51.2,576,68.9,415,49.6,138,16.5,209,25,3665.08,4.38,739,74.434,0.1,0,0.2
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),SEN status,Boys,Total,Total,Total,SEN State EHC,Total,Total,Total,15,100,1221.5,12.2,40,40,6,6,10,10,7,7,1,1,5,5,103.16,1.03,91,-96.428,-1.06,-1.35,-0.77
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),SEN status,Boys,Total,Total,Total,SEN Supp,Total,Total,Total,13,195,6791.5,34.8,187,95.9,45,23.1,79,40.5,52,26.7,9,4.6,13,6.7,588.62,3.02,186,-66.576,-0.36,-0.56,-0.15
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),SEN description,Boys,Total,Total,Total,Total,Any SEN,Total,Total,16,295,8013,27.2,227,76.9,51,17.3,89,30.2,59,20,10,3.4,18,6.1,691.78,2.35,277,-163.004,-0.59,-0.75,-0.42
202223,Academic year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Revised,0,0,State-funded schools (LA),SEN description,Boys,Total,Total,Total,Total,No identified SEN,Total,Total,12,836,40326.75,48.2,826,98.8,428,51.2,576,68.9,415,49.6,138,16.5,209,25,3665.08,4.38,739,74.434,0.1,0,0.2
