"time_period","time_identifier","geographic_level","country_code","country_name","version","establishment_type","qualification_type","subject","gender","admission_type","religious_denomination","grade","number_achieving","percentage_achieving"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any Science","Girls","Total","Total","Total pupil entries","9","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any Science","Total","Total","Total","Total pupil entries","19","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any Subject","Boys","Total","Total","a to b","2422","66"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any Subject","Girls","Total","Total","a to b","1344","60"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any Subject","Total","Total","Total","a to b","3766","64"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any Subject","Boys","Total","Total","a to e","3240","88"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any Subject","Girls","Total","Total","a to e","1936","87"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any Subject","Total","Total","Total","a to e","5176","88"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any Subject","Boys","Total","Total","Total pupil entries","3674","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any Subject","Girls","Total","Total","Total pupil entries","2224","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Any Subject","Total","Total","Total","Total pupil entries","5898","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Art and Design","Boys","Total","Total","a to b","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Art and Design","Girls","Total","Total","a to b","3","50"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Art and Design","Total","Total","Total","a to b","3","43"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Art and Design","Boys","Total","Total","a to e","1","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Art and Design","Girls","Total","Total","a to e","6","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Art and Design","Total","Total","Total","a to e","7","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Art and Design","Boys","Total","Total","Total pupil entries","1","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Art and Design","Girls","Total","Total","Total pupil entries","6","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Art and Design","Total","Total","Total","Total pupil entries","7","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Biology","Girls","Total","Total","a to b","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Biology","Total","Total","Total","a to b","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Biology","Girls","Total","Total","a to e","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Biology","Total","Total","Total","a to e","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Biology","Girls","Total","Total","Total pupil entries","1","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Biology","Total","Total","Total","Total pupil entries","1","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Business","Boys","Total","Total","a to b","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Business","Total","Total","Total","a to b","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Business","Boys","Total","Total","a to e","2","67"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Business","Total","Total","Total","a to e","2","67"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Business","Boys","Total","Total","Total pupil entries","3","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Business","Total","Total","Total","Total pupil entries","3","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Chemistry","Boys","Total","Total","a to b","1","50"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Chemistry","Total","Total","Total","a to b","1","50"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Chemistry","Boys","Total","Total","a to e","2","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Chemistry","Total","Total","Total","a to e","2","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Chemistry","Boys","Total","Total","Total pupil entries","2","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Chemistry","Total","Total","Total","Total pupil entries","2","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Classical Greek","Boys","Total","Total","a to b","0","0"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Classical Greek","Girls","Total","Total","a to b","1","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Classical Greek","Total","Total","Total","a to b","1","50"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Classical Greek","Boys","Total","Total","a to e","1","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Classical Greek","Girls","Total","Total","a to e","1","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Classical Greek","Total","Total","Total","a to e","2","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Classical Greek","Boys","Total","Total","Total pupil entries","1","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Classical Greek","Girls","Total","Total","Total pupil entries","1","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Classical Greek","Total","Total","Total","Total pupil entries","2","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Computer Science","Boys","Total","Total","a to b","3","43"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Computer Science","Girls","Total","Total","a to b","7","88"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Computer Science","Total","Total","Total","a to b","10","67"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Computer Science","Boys","Total","Total","a to e","7","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Computer Science","Girls","Total","Total","a to e","8","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Computer Science","Total","Total","Total","a to e","15","100"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Computer Science","Boys","Total","Total","Total pupil entries","7","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Computer Science","Girls","Total","Total","Total pupil entries","8","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","Computer Science","Total","Total","Total","Total pupil entries","15","z"
202223,"Academic year","National","E92000001","England","Revised","All schools","AS level and FSMQ","D & T: Textiles Technology","Girls","Total","Total","a to b","6","46"
