time_period,time_identifier,geographic_level,country_code,country_name,version,performance_tables_eligibility,trust_type,establishment_type,breakdown_topic,breakdown,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202122,Academic year,National,E92000001,England,Final,All multi-academy trust schools,Multi-academy trusts,Converter academies,Number of years in trust,2 years,54,9539,474956.25,49.8,9378,98.3,4816,50.5,6735,70.6,3476,36.4,1800,18.9,2422,25.4,41300.54,4.33,9096,137.964,0.02,-0.01,0.04
202122,Academic year,National,E92000001,England,Final,All multi-academy trust schools,Multi-academy trusts,Converter academies,Number of years in trust,3 years,95,17520,869845.26,49.6,17170,98,8623,49.2,12265,70,6636,37.9,3398,19.4,4526,25.8,75827.09,4.33,16809,-206.068,-0.01,-0.03,0.01
202122,Academic year,National,E92000001,England,Final,All multi-academy trust schools,Multi-academy trusts,Converter academies,Number of years in trust,4 years,109,19848,997956.5,50.3,19540,98.4,10253,51.7,14331,72.2,8167,41.1,4059,20.5,5415,27.3,87581.77,4.41,18997,871.718,0.05,0.03,0.07
202122,Academic year,National,E92000001,England,Final,All multi-academy trust schools,Multi-academy trusts,Converter academies,Number of years in trust,5 years,109,19135,948014.5,49.5,18771,98.1,9611,50.2,13314,69.6,7396,38.7,4002,20.9,5223,27.3,83392.4,4.36,18205,-696.618,-0.04,-0.06,-0.02
202122,Academic year,National,E92000001,England,Final,All multi-academy trust schools,Multi-academy trusts,Converter academies,Number of years in trust,6 years,76,14552,724405.75,49.8,14302,98.3,7438,51.1,10277,70.6,5283,36.3,2826,19.4,3765,25.9,63103.67,4.34,13890,602.856,0.04,0.02,0.07
202122,Academic year,National,E92000001,England,Final,All multi-academy trust schools,Multi-academy trusts,Converter academies,Number of years in trust,7 years,54,9774,472492.01,48.3,9597,98.2,4728,48.4,6760,69.2,3262,33.4,1657,17,2237,22.9,40860.05,4.18,9435,-567.244,-0.06,-0.09,-0.03
202122,Academic year,National,E92000001,England,Final,All multi-academy trust schools,Multi-academy trusts,Converter academies,Number of years in trust,8 years,44,8942,445935.75,49.9,8813,98.6,4628,51.8,6423,71.8,2967,33.2,1475,16.5,1995,22.3,38514.59,4.31,8458,608.07,0.07,0.04,0.1
202122,Academic year,National,E92000001,England,Final,All multi-academy trust schools,Multi-academy trusts,Converter academies,Number of years in trust,9 years,67,12803,644793.42,50.4,12573,98.2,6641,51.9,9131,71.3,5554,43.4,2860,22.3,3914,30.6,56741.51,4.43,12222,903.095,0.07,0.05,0.1
202122,Academic year,National,E92000001,England,Final,All multi-academy trust schools,Multi-academy trusts,Converter academies,Number of years in trust,10 or more years,391,84346,4524380.95,53.6,83194,98.6,49132,58.3,64724,76.7,39121,46.4,22819,27.1,29178,34.6,402752.4,4.78,80708,13875.48,0.17,0.16,0.18
202122,Academic year,National,E92000001,England,Final,All multi-academy trust schools,Multi-academy trusts,Sponsored academies,Total,Total,721,118315,5213828.77,44.1,115349,97.5,47424,40.1,71551,60.5,38340,32.4,15741,13.3,22473,19,447851.42,3.79,110158,-22787.32,-0.21,-0.22,-0.2
